name,map,monster_ids,min_level,kills_per_hour,arrows_per_hour,arrow_price,notes
Geographers,ein_fild04,1368,60,1800,6000,2,Stationary; AoE-friendly
Sleepers,yuno_fild06,1386,70,1150,5500,2,Great Nature cards; heavy hitter
Anolians,cmd_fild01,1206,70,900,6000,2,Brooch card jackpot; water map
Raydrics GH,gl_knt01,1163,75,1000,6000,2,Immaterial arrows help
Injustice GH,gl_prison1,1257,75,950,6000,2,Prison; watch mobbing
Stings GH,gl_prison,1207,75,900,6000,2,Glove of Orleans jackpot
Penomenas,alde_dun03,1216,70,800,6000,2,Alligator card synergy
Gargoyles,gl_sew02,1253,72,1050,6000,2,Fast flee mobs
Alligators,cmd_fild01,1271,45,1500,6250,2,Anolian Skin demand; shares map with Anolians
Dokebis,pay_fild10,1110,35,1400,6250,2,Low-level; fast clears
Goats,ein_fild06,1372,70,1000,6000,2,Blue Herb + Antelope Horn
Dryads,um_fild01,1493,60,950,6000,2,Sharp Leaf demand
Demon Pungus,ein_fild01,1378,60,1250,6000,2,Yellow Gemstone + Bacillus
Deleters,mag_dun02,1385,75,800,6000,2,Fire map; high HP
Medusas,beach_dun,1148,75,650,6000,2,Tough; stone curse risk
Ice Titans,ice_dun03,1777,73,550,6000,2,High HP tank mobs; big EXP
